pathway,GO
GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY,GO:1990051
GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY,GO:0032237
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,GO:0007171
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,GO:0032924
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION,GO:0044837
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,GO:0031032
GOBP_ACUTE_INFLAMMATORY_RESPONSE,GO:0002526
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GO:0002438
GOBP_ACUTE_PHASE_RESPONSE,GO:0006953
GOBP_ACYLGLYCEROL_HOMEOSTASIS,GO:0055090
GOBP_ACYLGLYCEROL_TRANSPORT,GO:0034196
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY,GO:0023058
GOBP_ADAPTIVE_IMMUNE_RESPONSE,GO:0002250
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,GO:0002460
GOBP_ADAPTIVE_THERMOGENESIS,GO:1990845
GOBP_ADENINE_TRANSPORT,GO:0015853
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT,GO:0021984
GOBP_ADENOSINE_METABOLIC_PROCESS,GO:0046085
GOBP_ADENOSINE_TO_INOSINE_EDITING,GO:0006382
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,GO:0071880
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS,GO:0086023
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007191
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO:0007189
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007195
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007197
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,GO:0007196
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO:0007193
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,GO:0007198
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO:0007188
GOBP_ADHERENS_JUNCTION_ASSEMBLY,GO:0034333
GOBP_ADHERENS_JUNCTION_MAINTENANCE,GO:0034334
GOBP_ADHERENS_JUNCTION_ORGANIZATION,GO:0034332
GOBP_ADHESION_OF_SYMBIONT_TO_HOST,GO:0044406
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL,GO:0044650
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY,GO:0033211
GOBP_ADIPOSE_TISSUE_DEVELOPMENT,GO:0060612
GOBP_ADP_BIOSYNTHETIC_PROCESS,GO:0006172
GOBP_ADP_METABOLIC_PROCESS,GO:0046031
GOBP_ADP_TRANSPORT,GO:0015866
GOBP_ADRENAL_GLAND_DEVELOPMENT,GO:0030325
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,GO:0071875
GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY,GO:1990410
GOBP_ADULT_BEHAVIOR,GO:0030534
GOBP_ADULT_FEEDING_BEHAVIOR,GO:0008343
GOBP_ADULT_HEART_DEVELOPMENT,GO:0007512
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,GO:0008344
GOBP_AEROBIC_RESPIRATION,GO:0009060
GOBP_AGGREPHAGY,GO:0035973
GOBP_AGGRESOME_ASSEMBLY,GO:0070842
GOBP_AGGRESSIVE_BEHAVIOR,GO:0002118
GOBP_AGING,GO:0007568
GOBP_ALANINE_CATABOLIC_PROCESS,GO:0006524
GOBP_ALANINE_TRANSPORT,GO:0032328
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,GO:0046165
GOBP_ALCOHOL_CATABOLIC_PROCESS,GO:0046164
GOBP_ALCOHOL_METABOLIC_PROCESS,GO:0006066
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS,GO:0046184
GOBP_ALDEHYDE_CATABOLIC_PROCESS,GO:0046185
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS,GO:0019401
GOBP_ALDITOL_CATABOLIC_PROCESS,GO:0019405
GOBP_ALDITOL_METABOLIC_PROCESS,GO:0019400
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS,GO:0052646
GOBP_ALKALOID_METABOLIC_PROCESS,GO:0009820
GOBP_ALKANESULFONATE_METABOLIC_PROCESS,GO:0019694
GOBP_ALLANTOIN_METABOLIC_PROCESS,GO:0000255
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,GO:1901606
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,GO:1901605
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,GO:0046631
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,GO:0046632
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,GO:0046633
GOBP_ALPHA_KETOGLUTARATE_TRANSPORT,GO:0015742
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,GO:0036109
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,GO:0000380
GOBP_AMACRINE_CELL_DIFFERENTIATION,GO:0035881
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,GO:0001667
GOBP_AMELOBLAST_DIFFERENTIATION,GO:0036305
GOBP_AMELOGENESIS,GO:0097186
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,GO:0043604
GOBP_AMIDE_TRANSPORT,GO:0042886
GOBP_AMINE_BIOSYNTHETIC_PROCESS,GO:0009309
GOBP_AMINE_CATABOLIC_PROCESS,GO:0009310
GOBP_AMINE_METABOLIC_PROCESS,GO:0009308
GOBP_AMINE_TRANSPORT,GO:0015837
GOBP_AMINO_ACID_ACTIVATION,GO:0043038
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS,GO:0006578
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,GO:0006577
GOBP_AMINO_ACID_BETAINE_TRANSPORT,GO:0015838
GOBP_AMINO_ACID_HOMEOSTASIS,GO:0080144
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,GO:0089718
GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE,GO:0051933
GOBP_AMINO_ACID_SALVAGE,GO:0043102
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,GO:0003333
GOBP_AMINO_ACID_TRANSPORT,GO:0006865
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS,GO:0046349
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS,GO:0046348
GOBP_AMINO_SUGAR_METABOLIC_PROCESS,GO:0006040
GOBP_AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY,GO:0106074
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,GO:0006023
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS,GO:0006026
GOBP_AMINOGLYCAN_METABOLIC_PROCESS,GO:0006022
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS,GO:0030647
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION,GO:0140331
GOBP_AMINOPHOSPHOLIPID_TRANSPORT,GO:0015917
GOBP_AMMONIUM_HOMEOSTASIS,GO:0097272
GOBP_AMMONIUM_ION_METABOLIC_PROCESS,GO:0097164
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT,GO:0072488
GOBP_AMP_BIOSYNTHETIC_PROCESS,GO:0006167
GOBP_AMP_CATABOLIC_PROCESS,GO:0006196
GOBP_AMP_METABOLIC_PROCESS,GO:0046033
GOBP_AMP_SALVAGE,GO:0044209
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING,GO:0097113
GOBP_AMYGDALA_DEVELOPMENT,GO:0021764
GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY,GO:0097647
GOBP_AMYLOID_BETA_CLEARANCE,GO:0097242
GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS,GO:0150094
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS,GO:0150093
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,GO:0050435
GOBP_AMYLOID_FIBRIL_FORMATION,GO:1990000
GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS,GO:0042983
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,GO:0042987
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,GO:0042982
GOBP_ANAGEN,GO:0042640
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,GO:0031145
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT,GO:0048532
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,GO:0048646
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS,GO:0060249
GOBP_ANATOMICAL_STRUCTURE_MATURATION,GO:0071695
GOBP_ANATOMICAL_STRUCTURE_REGRESSION,GO:0060033
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS,GO:0006702
GOBP_ANDROGEN_CATABOLIC_PROCESS,GO:0006710
GOBP_ANDROGEN_METABOLIC_PROCESS,GO:0008209
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521
GOBP_ANGIOGENESIS_INVOLVED_IN_CORONARY_VASCULAR_MORPHOGENESIS,GO:0060978
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,GO:0060055
GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY,GO:0038166
GOBP_ANIMAL_ORGAN_FORMATION,GO:0048645
GOBP_ANIMAL_ORGAN_MATURATION,GO:0048799
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,GO:0009887
GOBP_ANIMAL_ORGAN_REGENERATION,GO:0031100
GOBP_ANION_HOMEOSTASIS,GO:0055081
GOBP_ANION_TRANSMEMBRANE_TRANSPORT,GO:0098656
GOBP_ANION_TRANSPORT,GO:0006820
GOBP_ANOIKIS,GO:0043276
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS,GO:0021960
GOBP_ANTERIOR_HEAD_DEVELOPMENT,GO:0097065
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION,GO:0009948
GOBP_ANTERIOR_POSTERIOR_AXON_GUIDANCE,GO:0033564
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,GO:0009952
GOBP_ANTEROGRADE_AXONAL_TRANSPORT,GO:0008089
GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION,GO:0098957
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT,GO:0098937
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT_OF_NEUROTRANSMITTER_RECEPTOR_COMPLEX,GO:0098971
GOBP_ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT,GO:1990048
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,GO:0019731
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION,GO:0002778
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY,GO:0001788
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE,GO:0019732
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE,GO:0061760
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,GO:0019882
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB,GO:0048006
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,GO:0019883
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,GO:0002483
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY,GO:0002484
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,GO:0019884
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,GO:0002478
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GO:0042590
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,GO:0019886
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB,GO:0048003
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,GO:0048002
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GO:0002474
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB,GO:0002428
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,GO:0002504
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB,GO:0002475
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO:0050851
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,GO:0061844
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,GO:0019730
GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION,GO:0002775
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE,GO:0140374
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH,GO:0001547
GOBP_AORTA_DEVELOPMENT,GO:0035904
GOBP_AORTA_MORPHOGENESIS,GO:0035909
GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS,GO:0060414
GOBP_AORTIC_VALVE_MORPHOGENESIS,GO:0003180
GOBP_APICAL_JUNCTION_ASSEMBLY,GO:0043297
GOBP_APICAL_PROTEIN_LOCALIZATION,GO:0045176
GOBP_APOLIPOPROTEIN_A_I_MEDIATED_SIGNALING_PATHWAY,GO:0038027
GOBP_APOPTOTIC_CELL_CLEARANCE,GO:0043277
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION,GO:0030263
GOBP_APOPTOTIC_DNA_FRAGMENTATION,GO:0006309
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,GO:0008637
GOBP_APOPTOTIC_PROCESS,GO:0006915
GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL,GO:0071839
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS,GO:1902262
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT,GO:1902742
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS,GO:0003278
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS,GO:0060561
GOBP_APOPTOTIC_SIGNALING_PATHWAY,GO:0097190
GOBP_APPENDAGE_DEVELOPMENT,GO:0048736
GOBP_APPENDAGE_MORPHOGENESIS,GO:0035107
GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS,GO:0019369
GOBP_ARACHIDONIC_ACID_SECRETION,GO:0050482
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION,GO:0032011
GOBP_ARGININE_BIOSYNTHETIC_PROCESS,GO:0006526
GOBP_ARGININE_CATABOLIC_PROCESS,GO:0006527
GOBP_ARGININE_METABOLIC_PROCESS,GO:0006525
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS,GO:0009074
GOBP_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS,GO:0009072
GOBP_AROMATIC_AMINO_ACID_TRANSPORT,GO:0015801
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,GO:0034314
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION,GO:0060842
GOBP_ARTERY_DEVELOPMENT,GO:0060840
GOBP_ARTERY_MORPHOGENESIS,GO:0048844
GOBP_ARTICULAR_CARTILAGE_DEVELOPMENT,GO:0061975
GOBP_ASCENDING_AORTA_DEVELOPMENT,GO:0035905
GOBP_ASPARAGINE_METABOLIC_PROCESS,GO:0006528
GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS,GO:0009067
GOBP_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,GO:0009068
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,GO:0009066
GOBP_ASPARTATE_METABOLIC_PROCESS,GO:0006531
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT,GO:0015810
GOBP_ASSOCIATIVE_LEARNING,GO:0008306
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION,GO:0030953
GOBP_ASTROCYTE_ACTIVATION,GO:0048143
GOBP_ASTROCYTE_CELL_MIGRATION,GO:0043615
GOBP_ASTROCYTE_DEVELOPMENT,GO:0014002
GOBP_ASTROCYTE_DIFFERENTIATION,GO:0048708
GOBP_ASYMMETRIC_CELL_DIVISION,GO:0008356
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION,GO:0055059
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:0036500
GOBP_ATP_BIOSYNTHETIC_PROCESS,GO:0006754
GOBP_ATP_METABOLIC_PROCESS,GO:0046034
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GO:0042773
GOBP_ATP_TRANSPORT,GO:0015867
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,GO:0099624
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING,GO:0086026
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,GO:0003228
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GO:0055009
GOBP_ATRIAL_SEPTUM_DEVELOPMENT,GO:0003283
GOBP_ATRIAL_SEPTUM_MORPHOGENESIS,GO:0060413
GOBP_ATRIOVENTRICULAR_CANAL_DEVELOPMENT,GO:0036302
GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT,GO:0003162
GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT,GO:0003171
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION,GO:0003190
GOBP_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN,GO:0016255
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:0051315
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:0008608
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT,GO:0060117
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS,GO:0002093
GOBP_AUTOCRINE_SIGNALING,GO:0035425
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT,GO:0048483
GOBP_AUTOPHAGIC_CELL_DEATH,GO:0048102
GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION,GO:0061909
GOBP_AUTOPHAGOSOME_MATURATION,GO:0097352
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING,GO:0016240
GOBP_AUTOPHAGOSOME_ORGANIZATION,GO:1905037
GOBP_AUTOPHAGY_OF_MITOCHONDRION,GO:0000422
GOBP_AUTOPHAGY_OF_NUCLEUS,GO:0044804
GOBP_AUTOPHAGY_OF_PEROXISOME,GO:0030242
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION,GO:0086067
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING,GO:0086027
GOBP_AXIAL_MESODERM_DEVELOPMENT,GO:0048318
GOBP_AXIS_ELONGATION,GO:0003401
GOBP_AXIS_SPECIFICATION,GO:0009798
GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT,GO:0099640
GOBP_AXO_DENDRITIC_TRANSPORT,GO:0008088
GOBP_AXON_CHOICE_POINT_RECOGNITION,GO:0016198
GOBP_AXON_DEVELOPMENT,GO:0061564
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM,GO:0032291
GOBP_AXON_EXTENSION,GO:0048675
GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION,GO:0016199
GOBP_AXONAL_FASCICULATION,GO:0007413
GOBP_AXONAL_TRANSPORT,GO:0098930
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION,GO:0019896
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY,GO:1904158
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY,GO:0070286
GOBP_AXONEME_ASSEMBLY,GO:0035082
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION,GO:0060385
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT,GO:0045117
GOBP_B_1_B_CELL_DIFFERENTIATION,GO:0001923
GOBP_B_CELL_ACTIVATION,GO:0042113
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0002312
GOBP_B_CELL_APOPTOTIC_PROCESS,GO:0001783
GOBP_B_CELL_CHEMOTAXIS,GO:0035754
GOBP_B_CELL_DIFFERENTIATION,GO:0030183
GOBP_B_CELL_HOMEOSTASIS,GO:0001782
GOBP_B_CELL_LINEAGE_COMMITMENT,GO:0002326
