Factor,feature,estimate,p,p.adj,Sig,Omic_Layer
Factor3,ABHD12,-0.002917255092310413,0.9716411653221417,0.9763275375021522,No,Transcriptome Data
Factor3,ABHD14B,-0.16826701554202694,0.03889773530410088,0.055425670139784666,No,Transcriptome Data
Factor3,ABHD3,0.2937265539234226,2.517628104986552e-4,5.067689422275669e-4,Yes,Transcriptome Data
Factor3,ABHD6,0.18312490139505877,0.024408079600204403,0.03605871092483348,Yes,Transcriptome Data
Factor3,ABI3BP,-0.09083742574471658,0.2673230893210133,0.32192086864283875,No,Transcriptome Data
Factor3,ABL1,-0.6919890528649939,7.677825540566958e-23,2.1082404803742642e-21,Yes,Transcriptome Data
Factor3,ABLIM1,-0.319713115100033,6.291630082410675e-5,1.3501352108177413e-4,Yes,Transcriptome Data
Factor3,ABLIM2,-0.16788293718100517,0.039352211756363976,0.05600941041327068,No,Transcriptome Data
Factor3,ABP1,0.10394735948357155,0.2040290911797851,0.2519499767594284,No,Transcriptome Data
Factor3,ACACB,-0.3891659743372495,7.872138535799185e-7,2.108232066362931e-6,Yes,Transcriptome Data
Factor3,ACAD10,0.028741962349106805,0.7260950976198988,0.7638282112559424,No,Transcriptome Data
Factor3,ACAD11,0.2772432510418382,5.682703655969824e-4,0.0010907775487710666,Yes,Transcriptome Data
Factor3,ACADL,0.3388458056188462,2.083037842284209e-5,4.7213006398100837e-5,Yes,Transcriptome Data
Factor3,ACADM,0.6011227080339617,3.3332921814776926e-16,2.8735277426531838e-15,Yes,Transcriptome Data
Factor3,ACADVL,-0.0930734698355844,0.25567577803664276,0.3094599104776601,No,Transcriptome Data
Factor3,ACAT1,0.6763422346912116,1.575917603467019e-21,3.4259078336239545e-20,Yes,Transcriptome Data
Factor3,ACAT2,0.49124947307982975,1.5094108507041566e-10,6.052168607474565e-10,Yes,Transcriptome Data
Factor3,ACCS,-0.25638083344213164,0.0014851770270105057,0.002682761970755971,Yes,Transcriptome Data
Factor3,ACLY,-0.26183487989726034,0.0011638549710863717,0.0021331652695864584,Yes,Transcriptome Data
Factor3,ACMSD,0.518856899107203,8.80076926429415e-12,4.025969471314799e-11,Yes,Transcriptome Data
Factor3,ACN9,0.28668244802275283,3.5869358842701647e-4,7.105657456953575e-4,Yes,Transcriptome Data
Factor3,ACO1,0.12959111630109368,0.11276101802213978,0.1472845062985107,No,Transcriptome Data
Factor3,ACOT11,0.1455357662984755,0.07458338049649048,0.1013912187282361,No,Transcriptome Data
Factor3,ACOT2,0.3727470424282285,2.4371158124976315e-6,6.130228129501265e-6,Yes,Transcriptome Data
Factor3,ACOT4,0.43857234413377033,1.7763722011632644e-8,5.6178753989983065e-8,Yes,Transcriptome Data
Factor3,ACOT7,0.20997197088869662,0.00966328644171231,0.015377635466763209,Yes,Transcriptome Data
Factor3,ACP1,0.593052744083142,1.0306495009079538e-15,8.039387682589344e-15,Yes,Transcriptome Data
Factor3,ACP2,-0.23803531509110856,0.0032489624485030743,0.005561387279190473,Yes,Transcriptome Data
Factor3,ACP5,0.08685976406293508,0.28892315807109104,0.3437106329658471,No,Transcriptome Data
Factor3,ACPL2,0.27329853246304747,6.854904834616017e-4,0.0012987693889003442,Yes,Transcriptome Data
Factor3,ACSF2,-0.14208958102523228,0.08179614163232508,0.11011866132515494,No,Transcriptome Data
Factor3,ACSL1,0.41914902580513475,8.483348649260912e-8,2.5233041788402474e-7,Yes,Transcriptome Data
Factor3,ACSL5,-0.209773749750262,0.009733602351767994,0.01546980666205975,Yes,Transcriptome Data
Factor3,ACSM2A,0.29090133797155093,2.9048719557675507e-4,5.805099831669765e-4,Yes,Transcriptome Data
Factor3,ACSM2B,0.4624720165472258,2.2564985351302996e-9,7.967862059075917e-9,Yes,Transcriptome Data
Factor3,ACSM3,0.4805928148534732,4.2318854832049514e-10,1.6176932275248284e-9,Yes,Transcriptome Data
Factor3,ACSM5,0.3329194422600396,2.9567997015958535e-5,6.588234629224271e-5,Yes,Transcriptome Data
Factor3,ACSS1,-0.24996905377036865,0.001965212802766432,0.0034647616409845413,Yes,Transcriptome Data
Factor3,ACSS2,-0.1291886075658729,0.11389250469790622,0.1485683598981297,No,Transcriptome Data
Factor3,ACTA2,-0.6695796183345087,5.496112682864083e-21,1.0904985481873182e-19,Yes,Transcriptome Data
Factor3,ACTB,-0.6424804470046626,6.002858787721862e-19,8.600084223097224e-18,Yes,Transcriptome Data
Factor3,ACTC1,-0.4139487218486516,1.2683270955778622e-7,3.708558758999597e-7,Yes,Transcriptome Data
Factor3,ACTG2,-0.5002230436593439,6.161130138407031e-11,2.57142326310811e-10,Yes,Transcriptome Data
Factor3,ACTN1,-0.5947623731343079,8.135725497598039e-16,6.487819376074992e-15,Yes,Transcriptome Data
Factor3,ACTN4,-0.6937583575658923,5.389921821154041e-23,1.5665278276216353e-21,Yes,Transcriptome Data
Factor3,ACTR2,-0.009699794705839248,0.9059049319268819,0.9208222524160213,No,Transcriptome Data
Factor3,ACVR1B,-0.30976333450306703,1.0863710263434148e-4,2.2746462025615886e-4,Yes,Transcriptome Data
Factor3,ACVRL1,-0.5907258491715145,1.4188609286555627e-15,1.0781617998902451e-14,Yes,Transcriptome Data
Factor3,ACY3,0.20656304634632502,0.010937103451478823,0.017202113009560906,Yes,Transcriptome Data
Factor3,ADA,-0.2533276110427628,0.0016985506897533762,0.003026640573331034,Yes,Transcriptome Data
Factor3,ADAM10,0.44412815029570785,1.115159555517667e-8,3.623000505255578e-8,Yes,Transcriptome Data
Factor3,ADAM15,-0.7040989083890775,6.4697564722270046e-24,2.1638474403300235e-22,Yes,Transcriptome Data
Factor3,ADAM17,-0.6512623441625788,1.3819804445266458e-19,2.172925227243154e-18,Yes,Transcriptome Data
Factor3,ADAM19,-0.63667728276604,1.54389941689015e-18,2.0314466011712497e-17,Yes,Transcriptome Data
Factor3,ADAMDEC1,0.25997503329944227,0.001265479957412081,0.0023075856262072957,Yes,Transcriptome Data
Factor3,ADAMTS1,-0.3382362262073582,2.1601722178451465e-5,4.880642155095225e-5,Yes,Transcriptome Data
Factor3,ADAMTS9,-0.4764997535484115,6.229477751285819e-10,2.3366383163112603e-9,Yes,Transcriptome Data
Factor3,ADAMTSL2,-0.6664211895648846,9.740723180342392e-21,1.8518485133730785e-19,Yes,Transcriptome Data
Factor3,ADAP2,-0.22394567814146324,0.005705888279179007,0.009449964026464072,Yes,Transcriptome Data
Factor3,ADAR,-0.6525323020178775,1.11305565038605e-19,1.7894785375981512e-18,Yes,Transcriptome Data
Factor3,ADARB1,-0.7564953448630627,2.8489263634514883e-29,2.6876663806146117e-27,Yes,Transcriptome Data
Factor3,ADCY3,-0.7858131198812288,6.658650061159329e-33,1.4475326219911584e-30,Yes,Transcriptome Data
Factor3,ADCY4,-0.6919455454392982,7.74466688375603e-23,2.1082404803742642e-21,Yes,Transcriptome Data
Factor3,ADCY6,-0.5745616835013689,1.21997199503858e-14,8.036706159674439e-14,Yes,Transcriptome Data
Factor3,ADCY9,-0.17803663704556022,0.028737077048100603,0.04193969213091156,Yes,Transcriptome Data
Factor3,ADD1,-0.5588555844053902,8.841083257831314e-14,5.116367626059788e-13,Yes,Transcriptome Data
Factor3,ADD3,0.06129869450067224,0.45464410131847455,0.5121896761775198,No,Transcriptome Data
Factor3,ADH1A,-0.21281197677010025,0.008703938517699841,0.013926301628319745,Yes,Transcriptome Data
Factor3,ADHFE1,0.08975261406661013,0.27310188874741353,0.3276435768474399,No,Transcriptome Data
Factor3,ADM,-0.11171123521026871,0.17206395335402755,0.21610644731729156,No,Transcriptome Data
Factor3,ADM2,0.004674462500380773,0.9545740778328453,0.9630489082252274,No,Transcriptome Data
Factor3,ADORA1,-0.15092590965630678,0.06434124731795267,0.08842942182236486,No,Transcriptome Data
Factor3,ADORA2A,-0.2498451042027505,0.0019757450322730667,0.0034821026300195044,Yes,Transcriptome Data
Factor3,ADORA3,-0.09091487918450267,0.26691370159021494,0.3215053018431883,No,Transcriptome Data
Factor3,ADRA1B,-0.5631479159824928,5.199073131839895e-14,3.1244429878845524e-13,Yes,Transcriptome Data
Factor3,ADRBK1,-0.7088881687831614,2.3488945281689286e-24,8.21291793066059e-23,Yes,Transcriptome Data
Factor3,ADSSL1,0.13090697243340313,0.10912315698840015,0.14298107571855367,No,Transcriptome Data
Factor3,AEBP1,-0.5952517464791339,7.601208160526324e-16,6.120135394948731e-15,Yes,Transcriptome Data
Factor3,AES,-0.47341193524755815,8.311364440903013e-10,3.076004604331241e-9,Yes,Transcriptome Data
Factor3,AFAP1,-0.724724245768348,7.082902616005795e-26,3.1904966738764845e-24,Yes,Transcriptome Data
Factor3,AFAP1L1,-0.30461789330930056,1.4302025699573507e-4,2.9623085541784396e-4,Yes,Transcriptome Data
Factor3,AFAP1L2,-0.6025052466354633,2.7383982055811067e-16,2.4105618006875936e-15,Yes,Transcriptome Data
Factor3,AFAR3,0.038785151770201504,0.6363434415646747,0.6808725032791297,No,Transcriptome Data
Factor3,AFF1,0.19699925798078008,0.015331218341144601,0.023499721552950034,Yes,Transcriptome Data
Factor3,AFF3,-0.028749857572075377,0.7260228570583478,0.7638282112559424,No,Transcriptome Data
Factor3,AFF4,0.44461077141169,1.0705352581357186e-8,3.4893587292559276e-8,Yes,Transcriptome Data
Factor3,AFG3L2,0.2370018754326933,0.003389734197612,0.005790458144195421,Yes,Transcriptome Data
Factor3,AFP,0.22759395051881234,0.004947043320077099,0.008253325525654153,Yes,Transcriptome Data
Factor3,AGL,0.06909673004269866,0.3992131658353657,0.4571841111261632,No,Transcriptome Data
Factor3,AGMAT,0.33974553174128974,1.9739178672666206e-5,4.48821706972856e-5,Yes,Transcriptome Data
Factor3,AGPAT2,-0.09821448540143833,0.23023496769558088,0.28166744273988364,No,Transcriptome Data
Factor3,AGPAT5,0.5626082830455226,5.5602849270706823e-14,3.317592438586326e-13,Yes,Transcriptome Data
Factor3,AGPAT9,0.2153225586510658,0.007927063756349677,0.0127691104322643,Yes,Transcriptome Data
Factor3,AGR2,-0.16581010627085954,0.04188269466098184,0.059206523411057164,No,Transcriptome Data
Factor3,AGRN,-0.5682531820887587,2.7372580126025244e-14,1.7065199579816238e-13,Yes,Transcriptome Data
Factor3,AGT,0.18954872643685025,0.019751694321672682,0.029633873260561095,Yes,Transcriptome Data
Factor3,AGTR1,-0.16690167127794928,0.040533639709905846,0.05754349760066134,No,Transcriptome Data
Factor3,AGXT2,0.4624608524810698,2.2587592815952383e-9,7.970216237103875e-9,Yes,Transcriptome Data
Factor3,AHCY,0.4513453989435539,6.014612303925622e-9,2.0223982192083465e-8,Yes,Transcriptome Data
Factor3,AHCYL1,-0.4020738764253323,3.0985705605225803e-07,8.626310023726559e-7,Yes,Transcriptome Data
Factor3,AHCYL2,0.06559389357581853,0.42359752539397033,0.48059623938503554,No,Transcriptome Data
Factor3,AHNAK,-0.4568717349527687,3.7122941616847797e-9,1.2801014350637171e-8,Yes,Transcriptome Data
Factor3,AHNAK2,-0.3127887200738682,9.22002858335513e-5,1.94269460247685e-4,Yes,Transcriptome Data
Factor3,AIF1L,0.1733876599459423,0.03324835508216127,0.047977424360983074,Yes,Transcriptome Data
Factor3,AIG1,0.46083308974257897,2.6128363159323947e-9,9.174284817178352e-9,Yes,Transcriptome Data
Factor3,AIM2,0.045824940672072184,0.5763524099889651,0.6255181354340841,No,Transcriptome Data
Factor3,AIMP2,0.3555016399841038,7.485733847485103e-6,1.7797750469531865e-5,Yes,Transcriptome Data
Factor3,AIP,-0.23536910123387172,0.0036233736224929964,0.006164296737824084,Yes,Transcriptome Data
Factor3,AIRE,-0.594139547706743,8.869233168086094e-16,7.027918516708474e-15,Yes,Transcriptome Data
Factor3,AK2,0.5227859822541643,5.750186864949321e-12,2.6895167749996823e-11,Yes,Transcriptome Data
Factor3,AK3,-0.065205666547064,0.4263521887967813,0.48295445038149215,No,Transcriptome Data
Factor3,AK3L1,0.08252036995591613,0.313780983779223,0.3691540985637918,No,Transcriptome Data
Factor3,AKAP12,0.318992030822245,6.549927710296056e-5,1.4025541135537594e-4,Yes,Transcriptome Data
Factor3,AKAP13,-0.7214655118841395,1.484913002252676e-25,6.239130261565866e-24,Yes,Transcriptome Data
Factor3,AKAP7,0.3792679047026062,1.5672930074649113e-6,4.03317809435129e-6,Yes,Transcriptome Data
Factor3,AKNA,-0.6024780145934603,2.7490476127844876e-16,2.415683315276351e-15,Yes,Transcriptome Data
Factor3,AKR1B1,0.22090379282087688,0.006416303825586895,0.01051853086161786,Yes,Transcriptome Data
Factor3,AKR1B15,0.02154500049524837,0.7928744294733312,0.8233115662984668,No,Transcriptome Data
Factor3,AKR1C2,0.13873103507455797,0.08935421210747668,0.11942557084666759,No,Transcriptome Data
Factor3,AKR1C3,0.22437653704465346,0.0056111583532608015,0.009305403570913435,Yes,Transcriptome Data
Factor3,AKR7A2,0.4011889908271213,3.3072835565301927e-7,9.186898768139423e-7,Yes,Transcriptome Data
Factor3,AKR7A3,0.43206853628686487,3.0315978762201755e-8,9.356783568580788e-8,Yes,Transcriptome Data
Factor3,AKTIP,0.4506948347612612,6.3625813280707945e-9,2.135094405392884e-8,Yes,Transcriptome Data
Factor3,ALCAM,-0.024087252041932468,0.7690849082487433,0.8019654934814842,No,Transcriptome Data
Factor3,ALDH18A1,-0.06111680026358148,0.45598628426846466,0.5132668665786411,No,Transcriptome Data
Factor3,ALDH1A1,0.27920288256373776,5.171832046919719e-4,0.001001128928943035,Yes,Transcriptome Data
Factor3,ALDH1A2,-0.15026772273533623,0.06552668823266981,0.08993506482661243,No,Transcriptome Data
Factor3,ALDH1A3,-0.11981291145031107,0.14282951467814967,0.18213404065053515,No,Transcriptome Data
Factor3,ALDH1B1,0.17568533676604642,0.030948884805714765,0.04495770599319402,Yes,Transcriptome Data
Factor3,ALDH1L1,0.16861616764061868,0.038488424576377696,0.05492069716948872,No,Transcriptome Data
Factor3,ALDH2,0.32629385658761006,4.337489948590564e-5,9.453988554033488e-5,Yes,Transcriptome Data
Factor3,ALDH3A2,0.3273103463211791,4.092187373360865e-5,8.946627401313652e-5,Yes,Transcriptome Data
Factor3,ALDH3B1,-0.17819121682953912,0.028596511968057573,0.04177112469771775,Yes,Transcriptome Data
Factor3,ALDH4A1,0.3725834515111626,2.4639549464575552e-6,6.190841574013959e-6,Yes,Transcriptome Data
Factor3,ALDH5A1,0.5151772700610391,1.3046386651155693e-11,5.866181048181516e-11,Yes,Transcriptome Data
Factor3,ALDH6A1,0.2612487158987685,0.0011950481041248225,0.0021847314517821253,Yes,Transcriptome Data
Factor3,ALDH8A1,0.1946607496499342,0.016615286729453074,0.025374597937466516,Yes,Transcriptome Data
Factor3,ALDH9A1,-0.0530587194304629,0.5176096401255081,0.5719443537298433,No,Transcriptome Data
Factor3,ALDOA,0.3332691995196878,2.8968776569788615e-5,6.463359341764528e-5,Yes,Transcriptome Data
Factor3,ALDOB,0.20081057452535916,0.013423400412159996,0.02082438785628296,Yes,Transcriptome Data
Factor3,ALDOC,-0.020454050956732438,0.8031433961464698,0.8321004933137897,No,Transcriptome Data
Factor3,ALG3,-0.2614414574602721,0.0011847078560572573,0.002167412835816424,Yes,Transcriptome Data
Factor3,ALOX5AP,0.18659304035076577,0.021789023667849752,0.032472464482637485,Yes,Transcriptome Data
Factor3,ALPK2,-0.15675916063629874,0.05458277677767209,0.07589373856739723,No,Transcriptome Data
Factor3,ALPL,0.036758006668486276,0.6540897172932159,0.6980680013801663,No,Transcriptome Data
Factor3,ALPP,-0.6275331498896276,6.5714560166751374e-18,7.70967635602903e-17,Yes,Transcriptome Data
Factor3,ALS2CR4,0.45513846933285274,4.3228652089694735e-9,1.4773975423682412e-8,Yes,Transcriptome Data
Factor3,AMACR,0.5661805286258247,3.556346324316941e-14,2.1898684263035352e-13,Yes,Transcriptome Data
Factor3,AMD1,0.45489786625359485,4.414914458654449e-9,1.5067967435680716e-8,Yes,Transcriptome Data
Factor3,AMDHD1,0.35260365112558206,8.982341107391229e-6,2.119476429304207e-5,Yes,Transcriptome Data
Factor3,AMFR,0.030783060466664743,0.707501189878369,0.7475709952222833,No,Transcriptome Data
Factor3,AMT,-0.1101635608618282,0.17812016574132924,0.22298468420296602,No,Transcriptome Data
Factor3,ANAPC10,0.5696738311056005,2.2852354388616978e-14,1.439065137822228e-13,Yes,Transcriptome Data
Factor3,ANAPC13,0.44245333225476696,1.2843161553368914e-8,4.13229136208781e-8,Yes,Transcriptome Data
Factor3,ANG,0.15229574352404182,0.06193024451570465,0.08535039211094907,No,Transcriptome Data
Factor3,ANGPT1,-0.3678817767858417,3.3669395036738903e-06,8.334008672460125e-6,Yes,Transcriptome Data
Factor3,ANGPT2,-0.3664850843062796,3.690700865359026e-6,9.063607233199966e-6,Yes,Transcriptome Data
Factor3,ANGPTL2,-0.3530614256746945,8.728459562240893e-6,2.062490444763916e-5,Yes,Transcriptome Data
Factor3,ANGPTL4,-0.21754223085967467,0.00729207699145108,0.011853181065427633,Yes,Transcriptome Data
Factor3,ANK2,-0.003957240747755763,0.9615381302202015,0.9685114123894053,No,Transcriptome Data
Factor3,ANK3,0.30395261571083226,1.4814183836096533e-4,3.0645808514887326e-4,Yes,Transcriptome Data
Factor3,ANKDD1A,-0.549093680024099,2.8758206804581763e-13,1.5818595602080177e-12,Yes,Transcriptome Data
Factor3,ANKIB1,0.28030059655785095,4.904520863866295e-4,9.549300747403222e-4,Yes,Transcriptome Data
Factor3,ANKRA2,-0.21699855049431704,0.00744328215140399,0.012075409071064226,Yes,Transcriptome Data
Factor3,ANKRD13A,0.11575310980839701,0.1569687290709298,0.19824290107467768,No,Transcriptome Data
Factor3,ANKRD22,0.09080999002631783,0.2674682059413361,0.32201806638735386,No,Transcriptome Data
Factor3,ANKRD29,0.3125013643616681,9.365528680930837e-5,1.9708604126537956e-4,Yes,Transcriptome Data
Factor3,ANKRD30B,-0.5794700232499697,6.427509251002824e-15,4.4084425589868475e-14,Yes,Transcriptome Data
Factor3,ANKRD33,-0.0033963677819463653,0.9669861246745497,0.9724179204188728,No,Transcriptome Data
Factor3,ANKRD36B,-0.28440808614766433,4.0134227276177823e-4,7.903550074079917e-4,Yes,Transcriptome Data
Factor3,ANKRD37,0.5690510568042978,2.473654103947031e-14,1.5499085864329768e-13,Yes,Transcriptome Data
Factor3,ANKRD38,-0.5063692907318842,3.284937133530381e-11,1.4134841366309728e-10,Yes,Transcriptome Data
Factor3,ANKRD46,0.34229086332267167,1.6936674488965404e-5,3.889911458191411e-5,Yes,Transcriptome Data
Factor3,ANKRD50,-0.3690240531076793,3.1223829513312602e-6,7.763259451345748e-6,Yes,Transcriptome Data
Factor3,ANKRD57,0.20523487257075224,0.011472046268388082,0.017981263743554986,Yes,Transcriptome Data
Factor3,ANKRD9,-0.2235362017056714,0.00579723756589572,0.009588550390168243,Yes,Transcriptome Data
Factor3,ANKS1A,-0.39507873454399434,5.160987997061627e-7,1.402442390505877e-6,Yes,Transcriptome Data
Factor3,ANKS1B,-0.36688222548860366,3.595754330189562e-6,8.860902735804735e-6,Yes,Transcriptome Data
Factor3,ANO1,-0.638705647517035,1.1122847835138954e-18,1.515374364460348e-17,Yes,Transcriptome Data
Factor3,ANO6,0.16644481363417354,0.04109376179218004,0.05822295521703039,No,Transcriptome Data
Factor3,ANPEP,-0.09625292895614869,0.23972315554980195,0.29184703621840996,No,Transcriptome Data
Factor3,ANTXR2,-0.4035503179707112,2.7780689092970306e-7,7.786067570899749e-7,Yes,Transcriptome Data
Factor3,ANXA1,0.07751070921666035,0.3441604313396184,0.40074572815512155,No,Transcriptome Data
Factor3,ANXA13,0.2508033763656267,0.0018956361216632114,0.00335036430127821,Yes,Transcriptome Data
Factor3,ANXA3,0.15660438797796966,0.05482493224583469,0.07618806593362241,No,Transcriptome Data
Factor3,ANXA4,0.5704453946506988,2.071104243318454e-14,1.3108254704547177e-13,Yes,Transcriptome Data
Factor3,ANXA5,-0.08867685246063794,0.278915414484272,0.33347132291280723,No,Transcriptome Data
Factor3,AOX1,0.2912248702806397,2.8578801550754727e-4,5.713474920182873e-4,Yes,Transcriptome Data
Factor3,AP1M2,0.4089480579384134,1.8553532521095288e-7,5.304040171839705e-7,Yes,Transcriptome Data
Factor3,AP1S1,0.6165196314883897,3.533834263608842e-17,3.65065523100087e-16,Yes,Transcriptome Data
Factor3,APBB1IP,0.06384441213361784,0.4360922895248496,0.49287103246479386,No,Transcriptome Data
Factor3,APBB3,-0.35720749331547286,6.7185686221110395e-6,1.608852639394406e-5,Yes,Transcriptome Data
Factor3,APCDD1L,-0.3710032832310864,2.738070562262414e-6,6.852028434090125e-6,Yes,Transcriptome Data
Factor3,APCS,0.08248025839411609,0.314017069545752,0.3693449418322183,No,Transcriptome Data
Factor3,APEX1,0.28677455514003414,3.5705820473095983e-4,7.076064303031309e-4,Yes,Transcriptome Data
Factor3,APIP,0.6503860559322452,1.6035858055529778e-19,2.476879576955594e-18,Yes,Transcriptome Data
Factor3,APITD1,0.671779123612428,3.674272023929456e-21,7.468032568962308e-20,Yes,Transcriptome Data
Factor3,APLNR,-0.5672416147636319,3.1110066124690397e-14,1.9299048464448137e-13,Yes,Transcriptome Data
Factor3,APLP2,-0.37514431494545747,2.0743142704279766e-6,5.254088830871268e-6,Yes,Transcriptome Data
Factor3,APM-1,-0.08526237912841578,0.29791635868709676,0.3532325808478738,No,Transcriptome Data
Factor3,APOA1BP,0.35943733320917104,5.827548000824536e-6,1.4062615832105539e-5,Yes,Transcriptome Data
Factor3,APOB,0.18372459781824174,0.023936777662045258,0.03541991367571065,Yes,Transcriptome Data
Factor3,APOBEC3G,0.21190244391260762,0.009001577040644216,0.014370333717503537,Yes,Transcriptome Data
Factor3,APOC1,0.3141303942385971,8.568222784676488e-5,1.8122298613951963e-4,Yes,Transcriptome Data
Factor3,APOC2,0.1401033521694581,0.08620129218475353,0.1156443415411236,No,Transcriptome Data
Factor3,APOD,-0.4042937146777314,2.628941007780723e-7,7.384665752193042e-7,Yes,Transcriptome Data
Factor3,APOE,0.033648623826433424,0.6816875299602947,0.7241210218401261,No,Transcriptome Data
Factor3,APOL1,-0.16836985378947578,0.03877679956345438,0.05528485823132931,No,Transcriptome Data
Factor3,APOL2,-0.14584405103757334,0.07396403928643973,0.10063134596794521,No,Transcriptome Data
Factor3,APOL3,-0.23092522559985085,0.004334429232200242,0.0073191982982104735,Yes,Transcriptome Data
Factor3,APOLD1,-0.37758031565186045,1.7586030165929285e-6,4.495406484133253e-6,Yes,Transcriptome Data
Factor3,APP,-0.06265201295705823,0.44472754506419643,0.5017233134749509,No,Transcriptome Data
Factor3,APRT,0.38455717798110184,1.0878255849928467e-6,2.8626989078759126e-6,Yes,Transcriptome Data
Factor3,AQP1,0.11901855762436991,0.14551703340760624,0.18508907836123917,No,Transcriptome Data
Factor3,AQP2,-0.09803529194652075,0.23109060508976093,0.28264506493366065,No,Transcriptome Data
Factor3,AQP9,0.052230262522207596,0.5241784138970262,0.5776707228311949,No,Transcriptome Data
Factor3,ARAP3,-0.7780643840033625,6.866677265830501e-32,1.1444462109717502e-29,Yes,Transcriptome Data
Factor3,ARF4,0.0664521944037869,0.41754417600806604,0.47491375797095775,No,Transcriptome Data
Factor3,ARFGAP1,-0.5657585899573048,3.7501707077049894e-14,2.3007182255858833e-13,Yes,Transcriptome Data
Factor3,ARG2,0.05587951702384496,0.49556420217628105,0.5508734732509176,No,Transcriptome Data
Factor3,ARGLU1,-0.2369757149961064,0.003393367952266043,0.005794685710836822,Yes,Transcriptome Data
Factor3,ARHGAP1,-0.5357950568219249,1.3503644386791343e-12,6.826918294636674e-12,Yes,Transcriptome Data
Factor3,ARHGAP15,-0.1884363528723786,0.020498250589975123,0.0306401354110241,Yes,Transcriptome Data
Factor3,ARHGAP17,-0.8261607088497916,5.914292237424005e-39,7.392865296780006e-36,Yes,Transcriptome Data
Factor3,ARHGAP24,0.29851048785968193,1.969281561387352e-4,4.015663869060669e-4,Yes,Transcriptome Data
Factor3,ARHGAP25,-0.36169389394683116,5.0405730777006124e-6,1.2228464526202359e-5,Yes,Transcriptome Data
Factor3,ARHGAP30,-0.12902706087798174,0.11434910722905431,0.14912507463361283,No,Transcriptome Data
Factor3,ARHGAP9,-0.10956140505140072,0.18051842154693076,0.22570445304692519,No,Transcriptome Data
Factor3,ARHGDIA,-0.4748172462648169,7.29183682783778e-10,2.7188056777918643e-9,Yes,Transcriptome Data
Factor3,ARHGDIB,-0.681852817370104,5.554878325553947e-22,1.3289182597019013e-20,Yes,Transcriptome Data
Factor3,ARHGEF16,0.09950303503805451,0.2241478600684267,0.2745564185061572,No,Transcriptome Data
Factor3,ARHGEF17,-0.6931616758856269,6.074704951419598e-23,1.7257684521078402e-21,Yes,Transcriptome Data
Factor3,ARHGEF2,-0.8000192604994903,7.106917505465145e-35,2.733429809794287e-32,Yes,Transcriptome Data
Factor3,ARHGEF3,-0.33406110924821136,2.7653996477426853e-5,6.175524001211892e-5,Yes,Transcriptome Data
Factor3,ARHGEF7,-0.509374921159536,2.4041694528853806e-11,1.0526135958342297e-10,Yes,Transcriptome Data
Factor3,ARID1A,-0.5217734702640889,6.4200913231056335e-12,2.988869331054764e-11,Yes,Transcriptome Data
Factor3,ARID4B,-0.4264588705387576,4.764449436558934e-8,1.4464023790403563e-7,Yes,Transcriptome Data
Factor3,ARID5B,-0.2503951231263468,0.0019293968184997486,0.003406420936616788,Yes,Transcriptome Data
Factor3,ARL1,0.44974058431147174,6.908259024782673e-9,2.2981566948711488e-8,Yes,Transcriptome Data
